x,y,z
3821329161997,75390623,43
3821328335464,75390627,43
3821327650736,75390630,43
3821327109636,75390634,43
3821326461907,75390630,43
3821325902373,75390631,43
3821325190222,75390630,43
3821324184560,75390636,43
3821322540027,75390643,43
3821321147252,75390646,43
3821319746594,75390650,43
3821318946312,75390653,43
3821317820210,75390661,43
3821316959610,75390663,43
3821316268173,75390666,43
3821315821914,75390674,43
3821315535503,75390696,43
3821315694114,75390696,43
3821315833834,75390696,43
3821315758730,75390699,43
3821315456817,75390701,43
3821315050227,75390692,43
3821313903868,75390690,43
3821312925889,75390685,43
3821312059101,75390679,43
3821310026607,75390669,43
3821308902525,75390665,43
3821308472160,75390659,43
3821308080356,75390653,43
3821308333351,75390655,43
3821308038798,75390658,43
3821307990336,75390659,43
3821307912301,75390661,43
3821308426498,75390682,43
3821308359211,75390690,43
3821308194217,75390699,43
3821308117485,75390707,43
3821307876475,75390708,43
3821306938622,75390707,43
3821307009557,75390711,43
3821307129085,75390715,43
3821306818638,75390711,43
3821306361631,75390707,43
3821305983767,75390707,43
3821305531060,75390708,43
3821305584603,75390706,43
3821305528454,75390708,43
3821306048775,75390706,43
3821306679178,75390702,43
3821307226205,75390692,43
3821307973400,75390673,43
3821308320389,75390661,43
3821308724113,75390649,43
3821308938286,75390639,43
3821309055013,75390630,42
3821308638717,75390626,42
3821308765606,75390618,42
3821309127511,75390618,42
3821309664832,75390618,42
3821310487457,75390615,42
3821311078973,75390608,42
3821311460029,75390606,43
3821311819850,75390603,42
3821311158962,75390615,42
3821311315684,75390616,42
3821311764288,75390612,42
3821312150359,75390608,42
3821311637595,75390608,42
3821311572457,75390606,43
3821311385837,75390599,43
3821311212506,75390592,43
3821311549593,75390589,43
3821311647951,75390586,43
3821311697261,75390580,42
3821311790082,75390574,43
3821311746896,75390571,43
3821311383492,75390572,43
3821311184366,75390564,43
3821310985175,75390557,43
3821310917562,75390550,42
3821310772761,75390545,43
3821311030250,75390549,43
3821311288847,75390553,42
3821311528619,75390552,42
3821311516373,75390557,42
3821310768983,75390543,42
3821310090377,75390530,42
3821309505701,75390519,43
3821309257200,75390512,42
3821309018470,75390496,42
3821308935420,75390488,42
3821308912947,75390487,42
3821309028567,75390487,42
3821309922713,75390507,43
3821310488955,75390510,43
3821310454432,75390514,42
3821310371121,75390518,42
3821308660213,75390514,43
3821308412494,75390511,42
3821307837262,75390506,43
3821307166799,75390502,42
3821305770832,75390499,42
3821305533275,75390504,43
3821305102388,75390512,43
3821304762239,75390519,43
3821304471725,75390525,43
3821303433754,75390534,43
3821303957918,75390541,43
3821304558879,75390547,43
3821304667203,75390551,43
3821304825618,75390553,43
3821305278065,75390558,43
3821305695207,75390562,43
3821305532363,75390566,43
3821305444101,75390581,43
3821304820146,75390579,43
3821304194303,75390576,42
3821303803802,75390574,42
3821303024819,75390575,42
3821302948934,75390572,42
3821302809604,75390568,42
3821302842955,75390567,43
3821302996615,75390567,42
3821304659321,75390574,42
3821305198141,75390577,43
3821305649415,75390579,43
3821306012363,75390581,43
3821306501547,75390585,42
3821306790433,75390583,42
3821306878630,75390584,42
3821306998288,75390586,42
3821307164910,75390587,42
3821307348534,75390583,42
3821307225423,75390581,42
3821307300918,75390579,43
3821306653644,75390570,43
3821306853747,75390564,43
3821307266069,75390557,43
3821307891978,75390549,43
3821309068366,75390541,43
3821310181179,75390526,42
3821311652902,75390520,43
3821312702141,75390516,42
3821313619411,75390520,42
3821315394806,75390535,42
3821315530097,75390537,42
3821315647345,75390539,42
3821315654184,75390542,42
3821314978445,75390547,42
3821314642009,75390542,42
3821314283686,75390536,42
3821314138559,75390534,42
3821312924065,75390523,42
3821313529781,75390523,42
3821314222391,75390524,42
3821314746164,75390518,42
3821315290129,75390512,42
3821316087871,75390491,42
3821316497197,75390481,42
3821316609625,75390475,42
3821316538625,75390471,42
3821316347055,75390486,42
3821316408414,75390490,42
3821316089370,75390492,42
3821315898386,75390495,42
3821316095818,75390496,42
3821316555235,75390496,42
3821316505470,75390493,42
3821316522210,75390488,42
3821316104221,75390476,42
3821316376497,75390472,42
3821317009506,75390473,42
3821317605972,75390474,42
3821317737941,75390474,42
3821318058354,75390484,42
3821318045717,75390488,42
3821317993346,75390492,42
3821318417068,75390492,42
3821318661204,75390504,42
3821318633846,75390501,42
3821318599193,75390496,42
3821318399611,75390487,42
3821317377404,75390464,42
3821317861052,75390459,42
3821318423581,75390454,42
3821318815515,75390443,42
3821319849382,75390429,42
3821320684904,75390427,42
3821321705743,75390427,42
3821322336667,75390430,42
3821322978730,75390435,42
3821323775169,75390468,42
3821324350401,75390474,42
3821324722793,75390474,42
3821325059165,75390473,42
3821325854171,75390466,42
3821326423801,75390463,42
3821326557920,75390464,42
3821326560199,75390464,42
3821326429598,75390464,42
3821326701027,75390459,42
3821327197898,75390454,42
3821327711118,75390449,42
3821327886730,75390437,42
3821328245900,75390431,42
3821328993616,75390430,42
3821329631445,75390432,42
3821330317932,75390437,43
3821331675924,75390459,43
3821332887747,75390465,43
3821334091427,75390472,42
3821334880636,75390471,42
3821335991626,75390467,42
3821336565750,75390470,42
3821337222013,75390473,42
3821337755947,75390470,42
3821337390394,75390467,42
3821337786236,75390468,42
3821338056623,75390470,42
3821338298089,75390463,42
3821338010831,75390451,43
3821338737964,75390450,43
3821339508544,75390449,43
3821340194640,75390452,43
3821340856244,75390454,43
3821342120829,75390477,43
3821342606105,75390485,43
3821342435249,75390492,43
3821342195607,75390499,43
3821341077517,75390499,43
3821341046186,75390498,43
3821341275210,75390498,43
3821341513224,75390497,43
3821341654247,75390504,43
3821341700430,75390506,43
3821341665972,75390504,42
3821341585201,75390503,43
3821341178937,75390498,42
3821341316117,75390497,42
3821341718212,75390501,42
3821342386721,75390511,42
3821344071053,75390534,42
3821346919137,75390574,42
3821349416453,75390612,42
3821351956044,75390654,42
3821354035828,75390697,42
3821355666617,75390748,42
3821357171429,75390788,42
3821358253693,75390819,42
3821358574887,75390844,43
3821357471649,75390874,43
3821356816428,75390871,42
3821356111703,75390865,42
3821355791551,75390862,43
3821354056932,75390837,42
3821353982480,75390831,42
3821353893958,75390823,42
3821353396045,75390813,42
